username,count
"-",7475
Administrator,1767
administrator,1282
admin,854
user,515
test,502
root,128
administrador,107
scan,78
scanner,77
scans,76
support,37
office,35
pc,34
agent,33
manager,33
operator,33
store,33
terminal,33
"admin pc",32
"david pc",32
finance,32
frontdesk,32
helpdesk,32
james,32
"james pc",32
john,32
"john pc",32
joseph,32
"joseph pc",32
liam,32
"liam pc",32
"mark pc",32
noah,32
"noah pc",32
oliver,32
"oliver pc",32
reception,32
richard,32
"richard pc",32
robert,32
"robert pc",32
room,32
sales,32
savior,32
shop,32
taxes,32
thomas,32
"thomas pc",32
"user pc",32
ubuntu,23
administrateur,13
deploy,12
user2,10
Test,9
guest,9
app,8
pi,8
user1,8
claude,7
minecraft,7
student,6
suporte,6
user3,6
a,5
appuser,5
deployer,5
dev,5
developer,5
devops,5
mysql,5
teamspeak,5
user4,5
cloud,4
david,4
ftpuser,4
"gitlab-runner",4
hadoop,4
jellyfin,4
openclaw,4
postgres,4
sam,4
server,4
tom,4
www,4
2,3
admin2,3
admins,3
bot,3
debian,3
defaultaccount,3
docker,3
frappe,3
git,3
gitlab,3
kingbase,3
master,3
myuser,3
ok2020,3
runner,3
sql,3
teste,3
testuser,3
user9,3
username,3
usuario,3
webuser,3
666,2
a02,2
abc,2
accounts,2
"admin$",2
admin1,2
adminisrator,2
adminuser,2
ai,2
alex,2
andre,2
arthur,2
bob,2
"cloudbase-init",2
cloudtechtiq,2
contabilidad,2
crafty,2
customer,2
demo,2
"ec2-user",2
elastic,2
elasticsearch,2
fastuser,2
fd,2
ftp,2
gabriel,2
gary,2
gerencia,2
hp,2
jessica,2
laptop,2
media,2
monitor,2
nexus,2
nginx,2
nobody,2
noc,2
node,2
odoo17,2
oficina,2
openvpn,2
pc2,2
rdpuser,2
remoto2,2
rodrigo,2
root1,2
sally,2
sdadmin,2
sol,2
solana,2
sonar,2
"sqli.net",2
sys,2
system32,2
sysupdate,2
tactical,2
test1,2
user01,2
user02,2
user5,2
user6,2
user8,2
usuario3,2
web3,2
work,2
x,2
zahra,2
"администратор",2
0139885132,1
1,1
1001,1
272yy,1
28out5,1
28out6,1
4,1
44,1
888,1
8899,1
Error,1
"a.chabok",1
"a.h",1
a555,1
a561,1
a666,1
aa235235aa,1
aa363808,1
aaa222,1
aarmani,1
aayush,1
abb,1
abc9,1
abdu,1
acc2l,1
acc5,1
"accnotebook02-1",1
account11,1
accountshla,1
accueil,1
aceadmin,1
ad,1
adadmin,1
"addison service",1
ademir,1
adilbwp,1
"admin bpp",1
"admin mks",1
"admin-d365",1
"admin-integraservice",1
admin1c,1
admina,1
adminisitrator,1
"administrador@eletrofer.com.br",1
"administrateur@fermerds.lab",1
adminks,1
adminstrator,1
admintest,1
adminxy,1
adnan,1
adriana,1
adriano,1
agencija,1
"agent 10",1
"agent 12",1
"agent 14",1
agf,1
"agora_service",1
ahmadi,1
aia,1
aicon,1
airflow,1
aj,1
aj1,1
ajay,1
ajt,1
ak2admin,1
ak47,1
akan,1
akash,1
"akash_sengen",1
"alessandro.volpi",1
"ali edit",1
aliriaz,1
alison,1
almacenrbn,1
aloy,1
alvera,1
ameen,1
amin,1
amine,1
amministratore,1
anasbwp,1
andrelina,1
andrew,1
angel,1
angga,1
ankaiahm,1
ankit,1
ankr,1
annisa,1
"antonio silva",1
anu1,1
anu2,1
anu3,1
anu4,1
anu5,1
anu6,1
anu7,1
anu8,1
anu9,1
anushke,1
aoun,1
apache,1
apjsjean,1
appeal,1
archivado,1
aren,1
arena,1
arizola,1
ark,1
arkserver,1
"arpaç",1
arsh,1
"asgharian-bahnamir",1
asmaa,1
assomada,1
asterisk,1
asus,1
audit,1
auditoria,1
aurora02,1
autonics03,1
autonics04,1
avalanche,1
avax,1
awais,1
azlina,1
azureuser,1
ba,1
bafi,1
bar,1
barcarena,1
barcode,1
barcode5,1
batamiz,1
bbg648,1
bea,1
beatrixe,1
bethowen,1
bgd01,1
bglobal,1
bharath,1
bil05,1
binam,1
bindi,1
bioanalises,1
bitrix,1
"bk_user",1
blendauser,1
blendauser2,1
"bm makassar",1
bnb,1
bnss,1
"boa vista",1
bodega,1
bogdan,1
boram,1
botuser,1
bps,1
breaksoft,1
brenda,1
"bruno.goncalves",1
burdubai,1
busra,1
busy1,1
byzz,1
ca,1
"caisse 1",1
"caisse 2",1
"caisse 3",1
caja02,1
calvin,1
camoflage,1
campaigns,1
carlos2,1
carol,1
cartorio,1
cassia2,1
cberrios,1
cbkadmin,1
cbm002,1
ccd01,1
ccd02,1
ccd03,1
ccore,1
"cecilia.prieto",1
chantal,1
charles,1
charlotte,1
chenxi,1
chi,1
chris,1
cindy,1
ciscomng,1
client,1
client2,1
"cloud-user",1
"cm_balcao5",1
coco,1
comalcalco,1
compta2,1
comptoir,1
"consult.burwood",1
consultoria,1
contabilidad1,1
contabilidad2,1
contabilidad3,1
contabilidad4,1
contabilidade,1
contador,1
contador1,1
contador2,1
contador4,1
core,1
cotexper1,1
cotexper10,1
cotexper4,1
cotexper8,1
cotexper9,1
cprn01,1
crc11,1
crislaine,1
crmftp,1
crownsoft,1
csgo,1
cubo,1
cursor,1
"cvfp01ess#8-3",1
"cvfp01ess#8-4",1
"cvfp01ess#8-5",1
"cvfp01ess#8-6",1
"cvfp01ess#8-7",1
cw,1
dalaoban,1
dalasta,1
dani,1
daniel,1
daniela,1
danny,1
data,1
data2025,1
datatech,1
datnguyentv,1
davy,1
dawi,1
dd8833,1
debora,1
default,1
defi,1
definity,1
dekormp,1
dell,1
demonios,1
deni,1
"denis.ferreira",1
deralisa,1
"desktop-ro4gucp",1
devuser,1
dianead,1
diego,1
"disha-store",1
"distrirepuestos cg",1
dmdba,1
dockeradmin,1
douglas,1
dq88,1
ds168168,1
dscma,1
dspace,1
dykhard,1
ecommerce,1
"edilson.verona",1
edson,1
"edward loh",1
efsantos,1
ehab,1
elaine,1
elinks,1
elitedesk,1
elsaid,1
elsearch,1
elsen,1
elvi,1
emily,1
emu,1
entrepot,1
"equipo-2",1
erick,1
erp,1
es,1
esadmin,1
esam,1
escritorio,1
esi,1
esiadmin,1
essjaysiby,1
esteban,1
estudio,1
esxi,1
ethan,1
evadministrador,1
eve,1
evrim,1
exam,1
exir,1
ezat,1
fabiano,1
fabrice,1
faisal,1
faouzi,1
faraone,1
farm,1
farman,1
fatima,1
faygo,1
"fdc.suporte",1
fdcl,1
feivo,1
fer,1
fernando,1
figment,1
financeiro,1
firedancer,1
fiscal,1
flamenco,1
flask,1
frank,1
"ftp_projectloan",1
g1,1
g2,1
g3,1
g4,1
g5,1
g6,1
g8,1
ganso,1
gardencity,1
gaston,1
gateway,1
gaurav,1
gerenciavendas,1
gg,1
ghost,1
ghostuser,1
ghshare,1
gian,1
gianni,1
girino,1
glenn,1
global,1
globala,1
gns3,1
gplanta,1
gpt4all,1
gr,1
grace,1
greek14,1
greek15,1
grid,1
gsd,1
gsph,1
gsph2,1
gsph3,1
gtcsql,1
"guest$",1
guillermo,1
gustavo,1
gzyl,1
h2tbabykid,1
haa,1
hamed,1
hanan,1
headstart,1
"hein.jacobs",1
"hell0$",1
hieu,1
"hoa bien",1
hoabien123,1
hook,1
hostingsource,1
hquempomil,1
"hr ssg",1
hstorerdp,1
huiping,1
hy89,1
hygd,1
ian,1
"ime_user",1
"immuneel.user09",1
imperialjean,1
in,1
independencefirst,1
infomav,1
ingrid,1
inma,1
installer,1
integracao,1
intel,1
inv0103,1
inv0774,1
inv1522,1
inv1610,1
inv1643,1
inv1686,1
inv1711,1
inv1777,1
inv1881,1
inv1882,1
inv1901,1
inv1921,1
inv1923,1
"inv1973-pc",1
inv2011,1
inv2035,1
inv2062,1
inv2264,1
inv2313,1
inv2321,1
inv2356,1
inv2490,1
inv2492,1
inv2538,1
inv2545,1
inv2570,1
inv2585,1
inv2601,1
inv2736,1
inv2770,1
inv2774,1
inv2783,1
inv2801,1
inv2829,1
inv2830,1
inv2831,1
inv2837,1
inv2838,1
inv2866,1
inv2888,1
inv2897,1
inv2899,1
inv2941,1
